recall20,recall50,NDCG100,method,dataset,lambda_val,iterations,errors,thresholds
0.6809444904722453,0.7254349627174813,0.9376455798159657,als_bias,ML1M,0.01,1,0.9095726899993806,0.4
0.6729080364540182,0.7156586578293289,0.9366684033787033,als_bias,ML1M,0.1,1,0.9297019280224569,0.4
0.6922949461474731,0.7355426677713339,0.9399026725356107,als_bias,ML1M,0.3,1,0.9462809799691837,0.4
0.6955260977630489,0.7551781275890638,0.8264191172908105,als_bias,ML1M,0.01,1,0.9095726899993806,0.6
0.6917978458989229,0.7483015741507871,0.8252069940051201,als_bias,ML1M,0.1,1,0.9297019280224569,0.6
0.6933719966859984,0.7476387738193869,0.829998809291429,als_bias,ML1M,0.3,1,0.9462809799691837,0.6
0.7432477216238608,0.7992543496271748,0.8318676672888796,als_bias,ML1M,0.01,1,0.9095726899993806,0.7
0.7386081193040597,0.796106048053024,0.8302659309786825,als_bias,ML1M,0.1,1,0.9297019280224569,0.7
0.7404308202154101,0.7916321458160729,0.8358655694560827,als_bias,ML1M,0.3,1,0.9462809799691837,0.7
0.6797017398508699,0.7209610604805302,0.9380611200671031,als_bias,ML1M,0.01,2,0.8296725217244174,0.4
0.6811101905550953,0.7219552609776305,0.9384638115234006,als_bias,ML1M,0.1,2,0.8410812868086116,0.4
0.6811101905550953,0.7227837613918807,0.9388555842779314,als_bias,ML1M,0.3,2,0.8493718250595882,0.4
0.6861640430820215,0.7420049710024855,0.8270666433458465,als_bias,ML1M,0.01,2,0.8296725217244174,0.6
0.6860811930405966,0.7405136702568351,0.827739547955315,als_bias,ML1M,0.1,2,0.8410812868086116,0.6
0.6909693454846727,0.7463131731565866,0.8282242088761917,als_bias,ML1M,0.3,2,0.8493718250595882,0.6
0.7284175642087821,0.7831814415907208,0.8318408538238614,als_bias,ML1M,0.01,2,0.8296725217244174,0.7
0.7261806130903066,0.78003314001657,0.8326166661623194,als_bias,ML1M,0.1,2,0.8410812868086116,0.7
0.732228666114333,0.7848384424192212,0.8332215117549953,als_bias,ML1M,0.3,2,0.8493718250595882,0.7
0.6816901408450704,0.7231980115990058,0.9381369316935789,als_bias,ML1M,0.01,3,0.8176903296616725,0.4
0.6830157415078707,0.7258492129246065,0.9387796020807768,als_bias,ML1M,0.1,3,0.8291993035440586,0.4
0.683844241922121,0.7257663628831814,0.9386424054735334,als_bias,ML1M,0.3,3,0.8358308496606179,0.4
0.6947804473902237,0.7507870753935377,0.8274409877144114,als_bias,ML1M,0.01,3,0.8176903296616725,0.6
0.6930405965202983,0.7497100248550125,0.8284400698809872,als_bias,ML1M,0.1,3,0.8291993035440586,0.6
0.6924606462303231,0.7513670256835129,0.8281778122192843,als_bias,ML1M,0.3,3,0.8358308496606179,0.6
0.735956917978459,0.7904722452361226,0.8324897707746236,als_bias,ML1M,0.01,3,0.8176903296616725,0.7
0.7333057166528584,0.7855012427506214,0.8332281457417432,als_bias,ML1M,0.1,3,0.8291993035440586,0.7
0.7368682684341342,0.7905550952775476,0.8332870325369545,als_bias,ML1M,0.3,3,0.8358308496606179,0.7
0.6833471416735708,0.7275890637945319,0.9382760282762941,als_bias,ML1M,0.01,4,0.8141441484009106,0.4
0.6846727423363712,0.7287489643744822,0.9388244545059903,als_bias,ML1M,0.1,4,0.825704342106024,0.4
0.6874067937033969,0.7291632145816073,0.938768395718477,als_bias,ML1M,0.3,4,0.8313040175335067,0.4
0.6990886495443248,0.7556752278376139,0.8277993323120033,als_bias,ML1M,0.01,4,0.8141441484009106,0.6
0.6953603976801989,0.7506213753106876,0.8284509226191149,als_bias,ML1M,0.1,4,0.825704342106024,0.6
0.6977630488815244,0.7566694283347142,0.828461784545191,als_bias,ML1M,0.3,4,0.8313040175335067,0.6
0.7412593206296603,0.7946147473073737,0.8328931175986166,als_bias,ML1M,0.01,4,0.8141441484009106,0.7
0.7381110190555096,0.7908864954432477,0.833584480307992,als_bias,ML1M,0.1,4,0.825704342106024,0.7
0.7418392709196354,0.7945318972659486,0.8334725662006441,als_bias,ML1M,0.3,4,0.8313040175335067,0.7
0.6843413421706711,0.7299917149958575,0.938469138324648,als_bias,ML1M,0.01,5,0.8128401432971079,0.4
0.6843413421706711,0.7292460646230323,0.9389107277355571,als_bias,ML1M,0.1,5,0.8241514479764239,0.4
0.6874067937033969,0.7317315658657829,0.9387711828494326,als_bias,ML1M,0.3,5,0.8290812982422444,0.4
0.7014913007456504,0.7583264291632146,0.8280378191554995,als_bias,ML1M,0.01,5,0.8128401432971079,0.6
0.6971002485501243,0.7547638773819387,0.8284914622012202,als_bias,ML1M,0.1,5,0.8241514479764239,0.6
0.6997514498757249,0.7571665285832643,0.8286102078620508,als_bias,ML1M,0.3,5,0.8290812982422444,0.6
0.7413421706710853,0.7952775476387738,0.8329535236434733,als_bias,ML1M,0.01,5,0.8128401432971079,0.7
0.7391052195526098,0.7907207953603976,0.8336051068986691,als_bias,ML1M,0.1,5,0.8241514479764239,0.7
0.7420878210439105,0.7952775476387738,0.8337282070825454,als_bias,ML1M,0.3,5,0.8290812982422444,0.7
0.6853355426677713,0.7312344656172328,0.9385435341019911,als_bias,ML1M,0.01,6,0.81230396737088,0.4
